model_id,model_name,train_CE_loss,validation_CE_loss,train_acc,validation_acc
1,Baseline Model (Random Classifer),2.7292836,2.713345134,0.09794136,0.102644181
2,Logistic Regression,0.018539669,3.911086036,0.999875234,0.264418072
3,Decision Tree,0.24203798,26.39875221,0.920648784,0.177874939
4,Random Forest,0.088077047,2.275444071,1,0.245332778
5,Random Forest -- GridSearch,0.270310444,2.157546391,1,0.262474842
6,Catboost,1.069234061,2.199320226,0.928758578,0.229023527
7,ANN,0.92166833,2.141455956,0.945601996,0.254077313
8,CNN_1,1.662956481,2.144688556,0.586150967,0.252758692
9,CNN_2,0.122977723,1.651656213,0.983655646,0.490110348
10,CNN_3,0.352403381,1.446649777,0.946225827,0.541883545
11,CNN_4,0.75344626,1.813662539,0.823206488,0.417169824
12,CNN_5,0.414263953,1.5890341,0.933374922,0.483239642
13,VGG11-Last-Layer,0.342985231,1.815181358,0.958951965,0.382399889
14,VGG-11-BN-Last-Layer,0.985298428,2.028806591,0.814223331,0.293774724
15,VGG16-1,0.141132475,2.285263667,0.979912664,0.536262058
16,VGG16-2,0.303176345,1.322850997,0.949968808,0.5714484
17,VGG16-3,1.875525043,2.088862801,0.236182158,0.18245541
18,VGG16-4,1.089851026,1.828334413,0.625951341,0.290512874
19,VGG16-5,0.934856715,1.588841339,0.8275733,0.473523492
20,CNN_6,0.347496262,1.593328323,0.925265128,0.448261503
21,VGG16-6,,,,
22,ResNet18-1,0.49471626423417175,1.7086355330995864,0.9488459139114162,0.40759247692414463
23,ResNet18-2,,,,
